vehicle_id,vin,registration_no,make,model,year,depot,status,odometer_km,fuel_type,last_updated
VH1001,VIN13604427227279743,RJ27DD3286,Kenworth,T680,2017,Ahmedabad-Central,IDLE,141161,ELECTRIC,2025-06-01
VH1002,VIN14294228698130675,RJ15DD9279,Mercedes,Actros,2016,Kolkata-East,ACTIVE,731453,ELECTRIC,2025-06-01
VH1003,VIN74737845430897632,RJ27AC7924,Mercedes,Actros,2021,Mumbai-West,ACTIVE,275772,DIESEL,2025-06-01
VH1004,VIN64753291459768593,RJ16FF5333,Volvo,FH16,2016,Ahmedabad-Central,MAINTENANCE,-1,DIESEL,2025-06-01
VH1005,VIN89557436203876328,RJ28FD2139,Mercedes,Actros,2016,Ahmedabad-Central,ACTIVE,353445,DIESEL,2025-06-01
VH1006,VIN64781960401926864,RJ27HF3664,Peterbilt,579,2021,Mumbai-West,ACTIVE,752729,DIESEL,2025-06-01
VH1007,VIN20290186078758315,RJ20DC8573,Kenworth,T680,2022,Jaipur-HUB,MAINTENANCE,281971,DIESEL,2025-06-15
VH1008,VIN43009302106141453,,Peterbilt,579,2017,Mumbai-West,MAINTENANCE,382633,DIESEL,2025-06-15
VH1009,VIN67016564876943025,RJ39CE3287,Kenworth,T680,2019,Chennai-South,DECOMMISSIONED,620573,DIESEL,2025-06-15
VH1010,VIN71743820997881209,RJ35FD3266,Kenworth,T680,2024,Chennai-South,ACTIVE,99405,DIESEL,2025-06-01
VH1011,VIN33055838111354308,RJ37BG7252,Scania,R450,20244,Delhi-NCR,MAINTENANCE,637083,DIESEL,2025-06-15
VH1012,VIN26508646200523193,RJ44EF2827,Kenworth,T680,2020,Chennai-South,ACTIVE,525763,DIESEL,2025-06-01
VH1013,VIN83164639805645108,RJ16ED3504,Kenworth,T680,2021,Delhi-NCR,IDLE,606116,DIESEL,2025-06-01
VH1014,VIN80415504878855227,RJ11BF6038,Freightliner,Cascadia,2019,Jaipur-HUB,ACTIVE,644916,DIESEL,2025-06-01
VH1015,VIN80038606070041551,RJ14CC8787,Volvo,FH16,2024,Delhi-NCR,ACTIVE,603306,ELECTRIC,2025-06-01
VH1016,VIN40523340282166464,RJ44DE7537,Mercedes,Actros,2021,Chennai-South,IDLE,523417,DIESEL,2025-06-01
VH1017,VIN19227102545363919,RJ31AD4608,Scania,R450,2016,Jaipur-HUB,ACTIVE,290062,DIESEL,2025-06-01
VH1018,VIN57619766391738561,RJ14DE8953,Volvo,FH16,2019,Kolkata-East,ACTIVE,648782,ELECTRIC,2025-06-01
VH1019,VIN37440960119313650,RJ16BG6804,Mercedes,Actros,2022,Chennai-South,MAINTENANCE,106802,DIESEL,2025-06-01
VH1020,VIN25747329492947550,RJ25DD9786,Volvo,FH16,2023,Delhi-NCR,MAINTENANCE,242401,DIESEL,2025-06-01
VH1021,VIN20864110855725692,RJ38BA9856,Mercedes,Actros,2016,Jaipur-HUB,ACTIVE,224389,CNG,2025-06-01
VH1022,VIN40804233363803710,RJ35AC7209,Mercedes,Actros,2016,Jaipur-HUB,MAINTENANCE,529248,DIESEL,2025-06-15
VH1023,VIN90094658034295182,RJ41CD5861,Mercedes,Actros,2019,Jaipur-HUB,IDLE,618532,DIESEL,2025-06-01
VH1024,VIN18238384275810234,RJ13HC1931,Kenworth,T680,2024,Jaipur-HUB,ACTIVE,121849,ELECTRIC,2025-06-01
VH1025,VIN68190189326389910,RJ17DA2343,Volvo,FH16,2022,Kolkata-East,DECOMMISSIONED,646675,ELECTRIC,2025-06-15
VH1026,VIN45205094787504835,RJ33CD5669,Volvo,FH16,2023,Chennai-South,ACTIVE,36600,DIESEL,2025-06-15
VH1027,VIN98152053271085926,RJ43CD1128,Kenworth,T680,2025,Kolkata-East,ACTIVE,20620,DIESEL,2025-06-15
